FMID,MarketName,MarketNameAndState,Website,Facebook,FacebookClustered,FacebookUnclear,FacebookUsernameNoAt,FacebookUsernamesWithAt,FacebookUsernamesToURL,FacebookValidURLS,Twitter,TwitterClustered,TwitterUsernamesNoAt,TwitterUsernameWithAt,TwitterUsernameToUrls,TwitterValidUrls,Youtube,YoutubeAccountNames,YoutubeUsernames,YoutubeURLs,OtherMedia,OtherMediaCopy,Instagram,InstagramExtractUsername,InstagramAmbiguous,InstagramToManuallyClean,InstagramUsername,InstagramURLS,street,city,County,State,zip,Season1Date,Season1DateToConvert,Season1DateInvalid,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,updateYear
1018261, Caledonia Farmers Market Association - Danville, Caledonia Farmers Market Association - Danville | Vermont,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,,,,,,,,,,,,,,,,,Danville,Caledonia,Vermont,05828,06/14/2017 to 08/30/2017,,,Wed: 9:00 AM-1:00 PM;,09/06/2017 to 10/18/2017,Wed: 2:00 PM-6:00 PM;,,,,,-72.140335,44.411037,,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,6/20/2017 10:43:57 PM,2017-01-01T01:00:00Z
1018318, Stearns Homestead Farmers' Market, Stearns Homestead Farmers' Market | Ohio,http://www.StearnsHomestead.com,StearnsHomesteadFarmersMarket,StearnsHomesteadFarmersMarket,,@StearnsHomesteadFarmersMarket,@StearnsHomesteadFarmersMarket,https://www.facebook.com/StearnsHomesteadFarmersMarket,https://www.facebook.com/StearnsHomesteadFarmersMarket,,,,,,,,,,,,,,,,,,,6975 Ridge Road,Parma ,Cuyahoga,Ohio,,06/24/2017 to 09/30/2017,,,Sat: 9:00 AM-1:00 PM;,,,,,,,-81.73394,41.374802,,Y,N,N,Y,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/21/2017 5:15:01 PM,2017-01-01T01:00:00Z
1009364,106 S. Main Street Farmers Market,106 S. Main Street Farmers Market | South Carolina,http://thetownofsixmile.wordpress.com/,,,,,,,,,,,,,,,,,,,,,,,,,,106 S. Main Street,Six Mile,,South Carolina,29682,,,,,,,,,,,-82.818703,34.804199,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,2013-01-01T01:00:00Z
1010691,10th Steet Community Farmers Market,10th Steet Community Farmers Market | Missouri,,,,,,,,,,,,,,,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,,,,,,,10th Street and Poplar,Lamar ,Barton,Missouri,64759,04/02/2014 to 11/30/2014,,,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-94.27462,37.495628,,Y,N,N,N,N,-,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,10/28/2014 9:49:46 AM,2014-01-01T01:00:00Z
1002454,112st Madison Avenue,112st Madison Avenue | New York,,,,,,,,,,,,,,,,,,,,,,,,,,,112th Madison Avenue,New York,New York,New York,10029,July to November,July to November,,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,-73.949303,40.7939,Private business parking lot,N,N,Y,Y,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,3/1/2012 10:38:22 AM,2012-01-01T01:00:00Z
1011100,12 South Farmers Market,12 South Farmers Market | Tennessee,http://www.12southfarmersmarket.com,12_South_Farmers_Market,12_South_Farmers_Market,,@12_South_Farmers_Market,@12_South_Farmers_Market,https://www.facebook.com/12_South_Farmers_Market,https://www.facebook.com/12_South_Farmers_Market,@12southfrmsmkt,@12southfrmsmkt,,@12southfrmsmkt,https://www.twitter.com/12southfrmsmkt,https://www.twitter.com/12southfrmsmkt,,,,,@12southfrmsmkt,@12southfrmsmkt,,,,,,,3000 Granny White Pike,Nashville,Davidson,Tennessee,37204,05/05/2015 to 10/27/2015,,,Tue: 3:30 PM-6:30 PM;,,,,,,,-86.79071,36.11837,,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,5/1/2015 10:40:56 AM,2015-01-01T01:00:00Z
1009845,125th Street Fresh Connect Farmers' Market,125th Street Fresh Connect Farmers' Market | New York,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://www.facebook.com/125thStreetFarmersMarket,,,,,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,https://twitter.com/FarmMarket125th,,,,https://twitter.com/FarmMarket125th,,,,,Instagram--> 125thStreetFarmersMarket,Instagram--> 125thStreetFarmersMarket,Instagram--> 125thStreetFarmersMarket,Instagram--> 125thStreetFarmersMarket,,,125thStreetFarmersMarket,https://www.instagram.com/125thStreetFarmersMarket,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027,06/10/2014 to 11/25/2014,,,Tue: 10:00 AM-7:00 PM;,,,,,,,-73.94825,40.808952,Federal/State government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,4/7/2014 4:32:01 PM,2014-01-01T01:00:00Z
1005586,12th & Brandywine Urban Farm Market,12th & Brandywine Urban Farm Market | Delaware,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,,,,,,,,,https://www.facebook.com/delawareurbanfarmcoalition,https://www.facebook.com/delawareurbanfarmcoalition,,,,,,,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,05/16/2014 to 10/17/2014,,,Fri: 8:00 AM-11:00 AM;,,,,,,,-75.534462,39.742119,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/3/2014 3:43:31 PM,2014-01-01T01:00:00Z
1008071,14&U Farmers' Market,14&U Farmers' Market | District of Columbia,,https://www.facebook.com/14UFarmersMarket,https://www.facebook.com/14UFarmersMarket,,,,,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,https://twitter.com/14UFarmersMkt,,,,https://twitter.com/14UFarmersMkt,,,,,,,,,,,,,1400 U Street NW ,Washington,District of Columbia,District of Columbia,20009,05/03/2014 to 11/22/2014,,,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.032051,38.917,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,4/5/2014 1:49:04 PM,2014-01-01T01:00:00Z
1012710,14th & Kennedy Street Farmers Market,14th & Kennedy Street Farmers Market | District of Columbia,,https://www.facebook.com/14KennnedyFarmersMarket/,https://www.facebook.com/14KennnedyFarmersMarket/,,,,,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,14KenFM,@14KenFM,@14KenFM,https://www.twitter.com/14KenFM,https://www.twitter.com/14KenFM,,,,,instagram:14kenfm,instagram:14kenfm,instagram:14kenfm,instagram:14kenfm,,,14kenfm,https://www.instagram.com/14kenfm,"5500 Colorado Avenue, NW",Washington ,District of Columbia,District of Columbia,20011,04/09/2016 to 11/19/2016,,,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.033447,38.955978,,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,7/20/2016 11:16:24 AM,2016-01-01T01:00:00Z
